;caption;rating
99;auswahl leckeren burgern meisten vegan erhältlich ebenfalls selbstgemachte shakes limonaden empfehlen;5.0
100;leckere burger empfehlen;5.0
101;netter laden burger lecker;4.0
102;burger allerfeinsten tolle variationen frische zutaten bestes beef leckere pommes saucen tolle drinks iceteas absolute empfehlung;5.0
103;auswahl burgern getränken;4.0
104;eindruck blick speisekarte positiv burger ziemlich kreativ außergewöhnlich geschmacklich eher enttäuschung konkreten burgerwahl gelegen;3.0
105;schönes ambiente freundliche bedienung essen fairen preis;4.0
106;preis leistungsverhältnis 11,90 buegermenu inkl. pommes hausgemachter limonade burger schmeckt absolute oberklasse portion pommes größte perfekte menge;4.0
109;bester laden düsseldorf soße burger;4.0
110;bedienung smartphone wichtiger kunden dauerte bestellung;4.0
111;best burgerrrss ever everything else really nice service stuff;5.0
112;burger eigentlich ding bekommen hervorragend vergleich üblichen burgerbuden kompliment küche service;5.0
113;geschmeckt schnecke burger gesehen übel nacktschnecke teller kriechen gesehen;1.0
114;langer langer pause space burger altstadt vorweg nehmen fanden selbstgemachte limo country pommes chili mayo boten guten;5.0
115;sicherheit burger düsseldorf;5.0
116;geschmäcker verschieden persönlich sagen burgerläden schmeckt industriestandart ketten;5.0
117;bürger geschmeckt personal freundlich nett personal schnell;5.0
118;leckere burger nettes personal preis normal;5.0
119;burger lecker dauerte fast 20min bestellung aufgenommen 10min bedienung fragte erneut bestellung probleme essen;2.0
120;lecker entspanntes freundliches personal riesengroße burger leckere einfallsreiche pommes beilage interessante lokalität;5.0
121;bester burger gegessen;5.0
122;amazing burgers beer;5.0
123;super burger interessanter laden echt verrückt gefühlt geld teller sterne gegeben;4.0
124;leckerer burger auswahl vegetarischen veganen optionen essen schnell bedienung freundlich;5.0
125;exquisite creative very nerdy;5.0
126;klasse;5.0
127;germany wallah burger geschmeckt;1.0
128;burger super lecker landen platz persönlichem burgerfavoritenliste neufundländer probiert begeistert;4.0
129;woche super lecker essen getränke nehmen;5.0
130;cooler burgerladen witz charme netter bedienung burger fairen preisen;5.0
131;gemütlicher laden personal nett burger preis definitiv wert sehen extrem unappetitlich avocado vergammelt beyond meat burger;2.0
132;nice burgers with vegetarian vegans options toilets same floor;5.0
133;empfinde liebe restaurant;5.0
134;bedienung freundlich deko ansprechend essen;5.0
135;perfekt veganer tauglich;5.0
136;spät samstagabend reservierung platz bekommen positiv überrascht personal freundlich aufmerksam frage okay;3.0
137;minuten sitzen bedienung anschaut gegangen unfreundlich schlimmer gehts;1.0
138;unbegreiflich laden größe kartenzahlung anbieten corona etc. landet zweit fall euro absolut zeitgemäß falls ändert ändere gerne bewertung edit september kartenzahlung test derzeit pflicht betreten restaurants innen gefragt handy rausholen kellner komm;1.0
139;burger super service keinerlei kontrolle imof- testnachweisen burger;2.0
140;essen lecker unerwünscht gefühlt service unmotiviert;3.0
141;lecker kellner geben aufmerksamkeit gäste;4.0
142;selten leckeren burger gegessen herzhaft schmackhaft service freundlich aufmerksam tollen aufenthalt;5.0
143;beste;1.0
144;schöner laden nette bedienung auswahl ausgefallenen burgen geschmack preise 12,- burger günstig;3.0
145;leben unappetitliches essen genommen fleisch gummi sprite bitter burger konstruiert bedienung pommes vergessen wartezeit;1.0
146;lebensmittelvergiftung verstehe hype;1.0
147;dönerfleisch frisch spieß geschnitten geschnitten kalt bereit nachfrage warmes fleisch hinzugefügt laden besuchen;2.0
148;schlechter döner kalbfleisch einfach ekelhaft brot verbrannt;1.0
149;leckerer saftiger knuspriger döner laden klein fällt sofort döner schmeckt geschmack abweichend;3.0
150;gehört beste döner düsseldorf döner enttäuschung;2.0
151;laut meinung vieler dene döner düsseldorfs liefern armutszeugnis stadt düsseldorf fleisch gespart optimal;2.0
152;dürüm rind lavas selbstgemacht;3.0
153;döner portion fleisch trocken sicherlich beste döner stadt;2.0
154;billigster hackdreck überteuerten preis;1.0
155;essen teuer;1.0
156;geschmack döners unten gegangen preise oben.früher döner schmeckte letzten besuch eher schlecht.ob nochmal döner esse;2.0
157;handwaschgelegenheit essen desinfektion feuchttücher zahnstocher;1.0
159;kartenzahlung einfach frech 0,50 berechnet fleisch teilweise trocken lokal empfehlen;1.0
160;alten mitarbeiter;3.0
162;beste döner düsseldorf sterne preise regelmäßig geschraubt wurden.die geschwindigkeit schnell essen bekommt rapide gesunken;2.0
163;freundliche bedienung frisch sauber saucen ordnung sorry drehspies fleich problem sehe überall echte dönner fleich yaprak dönner findet mann selten sade;3.0
164;einst dönerläden stadt weite bröckelt langer unfreundlich schlechte qualität längst;1.0
165;bewerte ungern stern dürüm derart ungenießbar hierzu gezwungen fleisch voraus menge geschnitten allzu kundschaft besteht;1.0
166;schlechteste döner gegessen;1.0
167;döner beste heutzutage beste peperoni döner obwohl döner preis mitlerweile packen fleisch rein schade;3.0
168;qualität fleisches fast überall düsseldorf brötchen standard soßen mayonnaise lastig;2.0
169;gegessen döner gestört essen personen angebettelt laden verwiesen;3.0
170;empfehlen mitarbeiter zieht kunden obwohl vorher schlange dran unseriös unverschämt grundlagen normalerweise kennen normalerweise einziger stern;1.0
171;ekelhaft abstand schlechteste döner düsseldorf empfehlen geld lassen;1.0
172;nacht dürüm bestellt fleisch minuten vorgeschnitten arbeitsfläche trocken geschmeckt teig dürüm stark getoastet bitter;1.0
173;döner schmeckt absoluter standard kalbfleisch gepresst wahrscheinlich nichtmal döner nennen;3.0
174;gesehen dönermann fleisch spieß schnitt verging appetit gesehen anderer zutaten brot lieblos klatschte hälfte theke salat;1.0
175;preisen decke gleichzeitig portionsgrößen negative emotionen;1.0
176;qualität verschlechtert rote soße geschmack fade;3.0
177;disappointing found strands hair food meat then between fries;2.0
178;pomdöner ungenießbar vermatscht nirgendwo bestellen maus ratte restaurant gerannt letztes;1.0
179;leute verstehe preise erhöhen qualität schlechter hänchenfleisch erkennen letztes döner schade stammkundin fast;2.0
180;weiß garnicht anfangen negativen sinne unfreundliche bedienung wirkte förmlich anschreien;1.0
181;döner soße ertränkt hackfleisch schmeckt ansonsten nahezu monatlichen preiserhöhungen geschafft döner doppelte kostet lachen dran vorbeigehe;1.0
182;fair doner here which fulled with meat salad extremely hungry however didnt taste like look kind poor sufficient better than many other restaurants germany;3.0
183;aufgrund kirmes erwartete döner erstens teurer preis drehspiess fleisch ungelogen;1.0
184;worst kebab ever dont recommend anyone;1.0
186;aktualisiert stand juni aktionspreis 6,00 nochmal erhöht 3,90 4,20 6,00 diesmal vorbei gelaufen preis erwarte döner;1.0
187;besseren döner gegessen essen finde unhygienisch maus rumlaufen sehen ekel .....;1.0
188;dönerteller pommes scharf bestellt bekam dönerteller pommes derart scharf hälfte essen wegschmeißen sohn bestellt extra hingewiesen;1.0
189;unverhältnismäßiger preisanstieg 6,50 döner;1.0
190;schmeckt vorher preis 6,50 euro döner übertrieben letztmals;1.0
191;trocken geschmacklich pappe;1.0
192;schrecklich;1.0
193;doner here sauce very confusing worst doner i've germany;1.0
194;schlechtester döner ever soßen fleisch krönung döner plastik zeile;1.0
195;meinung absolut durchschnittlicher standard döner;2.0
196;meinung lesen möchtet kalbfleisch günstigste preis sekment geliefert bekommen;1.0
197;besonderes fett;2.0
198;lecker teuer;3.0
199;leidenschaftlicher essenkritiker finde persönlich fleisch ziemlich trocken ölig döner totzdessen gemüse frisch soße brot schön kross gebe /10.;3.0
200;meinung döner richtiges fleisch massenanfertigung schlechte qualität extra stad gekommen;1.0
201;begriff fastfood stimmt laden hauptsache schnell schnell ...... naja fühlt abfertigung sache döner eigentlich lecker soßen lasch;3.0
202;definitiv beste döner stadt schmeckt stört soße soße schmeckt irgendwie curry ähnlichem sterne mühe netten mitarbeiter hole döner nächstes;2.0
203;geil;2.0
204;letzter gefühl mühe menge fleisch variiert chilis bestellung sofort bearbeitet leute vorgelassen;2.0
205;einst lernten worringerplatz preis döner worringerplatz normale beeinhaltet menge;3.0
206;dene liegt mitten düsseldorfer innenstadt direkt hauptstraße parkgelegenheiten sucht vergebens;1.0
207;gestern döner essen sagen qualität stark nachgelassen fleisch kalt gerochen döner gegessen bewertung hinterlegt sternen.die;2.0
208;schrott;1.0
209;bewertungen absolut nachvollziehen döner getränkt soße allgemein geschmack zudem bestellung theke absolut chaotisch ..... touristen sicherlich leute;2.0
210;mittlerweile schmeckt döner weiss geändert ..... mitarbeiter höflich;1.0
211;einfach maus;1.0
212;bessere gegessen ziemlich überwertet;3.0
214;update chance geben ernüchternd highlight ratte laden geflitzt;1.0
215;absoluter lieblingsdöner herzliches lustiges personal sosse spitze;5.0
216;bester döner stadt;5.0
218;open till sunday dead düsseldorf this time very friendly people working there very helpfull;5.0
